cao,凸( 艹皿艹)凸 ~######>
zg,王-?-戋-五-一
zf,土-士-二-干-十革_-寸-雨
zd,大??丆-犬犬^-三-羊_-古-石-厂镸
zs,木-丁-西覀
za,工-戈-弋-艹廿?廾-匚匸-七
zh,目-具^-上-止?-卜-虎^虚^-皮^-丨亅
zj,日曰-早-刂归<-虫
zk,口-川
zl,田-甲-囗-四皿罒-车-力
zm,山-由-贝-冂骨^-几
zt,禾-竹???-丿-彳-攵夂
zr,白-手扌-?-斤?-气^-勿<
ze,月舟_-彡采^-乃-用-豕豕_-衣_
zw,人亻-八癶祭^
zq,金钅-勹-鱼^-?乂犭^-儿-夕?-氏^
zy,言讠-文-方-广-丶-亠高^-谁>
zu,立-辛-冫?丷?丬-六-门-疒
zi,水氺氵-小兴^??光^
zo,火灬业^亦_-米
zp,之辶廴-冖宀-衤<礻<
zn,已-巳-己-夬^-尸民<-心忄?-羽-乙乛乚
zb,子孑-耳卩阝?予_-了-也-巜-凵
zv,女-刀-九-臼-彐-巛
zc,又?厶-巴-马
zx,母^_-互<>-弓-匕-纟-幺
